timestamp,temperature_c,humidity_pct
2023-04-01 00:00:00+05:30,16.9,96
2023-04-01 01:00:00+05:30,16.1,97
2023-04-01 02:00:00+05:30,15.6,98
2023-04-01 03:00:00+05:30,15.3,99
2023-04-01 04:00:00+05:30,15.6,100
2023-04-01 05:00:00+05:30,16.4,99
2023-04-01 06:00:00+05:30,15.6,100
2023-04-01 07:00:00+05:30,17.4,94
2023-04-01 08:00:00+05:30,19.5,82
2023-04-01 09:00:00+05:30,21.5,73
2023-04-01 10:00:00+05:30,23.0,66
2023-04-01 11:00:00+05:30,24.2,61
2023-04-01 12:00:00+05:30,24.9,57
2023-04-01 13:00:00+05:30,25.7,53
2023-04-01 14:00:00+05:30,26.2,49
2023-04-01 15:00:00+05:30,26.0,47
2023-04-01 16:00:00+05:30,24.9,51
2023-04-01 17:00:00+05:30,24.2,55
2023-04-01 18:00:00+05:30,22.1,71
2023-04-01 19:00:00+05:30,20.2,80
2023-04-01 20:00:00+05:30,18.8,88
2023-04-01 21:00:00+05:30,18.6,92
2023-04-01 22:00:00+05:30,18.6,91
2023-04-01 23:00:00+05:30,17.4,95
2023-04-02 00:00:00+05:30,17.4,95
2023-04-02 01:00:00+05:30,18.1,95
2023-04-02 02:00:00+05:30,17.8,97
2023-04-02 03:00:00+05:30,17.3,99
2023-04-02 04:00:00+05:30,17.1,100
2023-04-02 05:00:00+05:30,16.0,100
2023-04-02 06:00:00+05:30,16.9,98
2023-04-02 07:00:00+05:30,18.5,92
2023-04-02 08:00:00+05:30,21.5,76
2023-04-02 09:00:00+05:30,24.1,64
2023-04-02 10:00:00+05:30,25.7,58
2023-04-02 11:00:00+05:30,27.1,53
2023-04-02 12:00:00+05:30,28.1,46
2023-04-02 13:00:00+05:30,28.7,42
2023-04-02 14:00:00+05:30,28.9,41
2023-04-02 15:00:00+05:30,29.0,40
2023-04-02 16:00:00+05:30,28.4,39
2023-04-02 17:00:00+05:30,27.0,46
2023-04-02 18:00:00+05:30,24.9,53
2023-04-02 19:00:00+05:30,23.4,54
2023-04-02 20:00:00+05:30,22.3,58
2023-04-02 21:00:00+05:30,20.9,64
2023-04-02 22:00:00+05:30,19.5,72
2023-04-02 23:00:00+05:30,18.7,76
2023-04-03 00:00:00+05:30,17.9,79
2023-04-03 01:00:00+05:30,19.5,71
2023-04-03 02:00:00+05:30,17.0,84
2023-04-03 03:00:00+05:30,16.7,87
2023-04-03 04:00:00+05:30,16.2,91
2023-04-03 05:00:00+05:30,17.6,86
2023-04-03 06:00:00+05:30,18.7,79
2023-04-03 07:00:00+05:30,20.3,73
2023-04-03 08:00:00+05:30,23.0,63
2023-04-03 09:00:00+05:30,25.9,52
2023-04-03 10:00:00+05:30,28.0,44
2023-04-03 11:00:00+05:30,29.4,40
2023-04-03 12:00:00+05:30,30.4,38
2023-04-03 13:00:00+05:30,31.2,35
2023-04-03 14:00:00+05:30,31.8,27
2023-04-03 15:00:00+05:30,31.4,28
2023-04-03 16:00:00+05:30,30.5,29
2023-04-03 17:00:00+05:30,27.4,43
2023-04-03 18:00:00+05:30,24.5,56
2023-04-03 19:00:00+05:30,23.0,59
2023-04-03 20:00:00+05:30,22.3,63
2023-04-03 21:00:00+05:30,21.9,62
2023-04-03 22:00:00+05:30,20.5,65
2023-04-03 23:00:00+05:30,20.0,68
2023-04-04 00:00:00+05:30,19.3,71
2023-04-04 01:00:00+05:30,18.7,71
2023-04-04 02:00:00+05:30,17.5,78
2023-04-04 03:00:00+05:30,18.4,73
2023-04-04 04:00:00+05:30,17.5,79
2023-04-04 05:00:00+05:30,18.0,81
2023-04-04 06:00:00+05:30,18.1,78
2023-04-04 07:00:00+05:30,18.8,75
2023-04-04 08:00:00+05:30,19.6,73
2023-04-04 09:00:00+05:30,22.3,63
2023-04-04 10:00:00+05:30,24.7,54
2023-04-04 11:00:00+05:30,26.2,49
2023-04-04 12:00:00+05:30,27.3,45
2023-04-04 13:00:00+05:30,28.0,44
2023-04-04 14:00:00+05:30,28.4,43
2023-04-04 15:00:00+05:30,28.5,41
2023-04-04 16:00:00+05:30,28.8,36
2023-04-04 17:00:00+05:30,28.4,35
2023-04-04 18:00:00+05:30,26.1,43
2023-04-04 19:00:00+05:30,24.5,45
2023-04-04 20:00:00+05:30,23.4,47
2023-04-04 21:00:00+05:30,22.5,51
2023-04-04 22:00:00+05:30,21.1,57
2023-04-04 23:00:00+05:30,19.8,63
2023-04-05 00:00:00+05:30,18.6,68
2023-04-05 01:00:00+05:30,18.1,71
2023-04-05 02:00:00+05:30,17.6,74
2023-04-05 03:00:00+05:30,16.9,78
2023-04-05 04:00:00+05:30,16.5,79
2023-04-05 05:00:00+05:30,16.9,87
2023-04-05 06:00:00+05:30,17.4,84
2023-04-05 07:00:00+05:30,19.2,77
2023-04-05 08:00:00+05:30,22.2,65
2023-04-05 09:00:00+05:30,25.0,53
2023-04-05 10:00:00+05:30,27.1,43
2023-04-05 11:00:00+05:30,28.7,34
2023-04-05 12:00:00+05:30,29.9,27
2023-04-05 13:00:00+05:30,30.6,23
2023-04-05 14:00:00+05:30,31.0,19
2023-04-05 15:00:00+05:30,30.9,18
2023-04-05 16:00:00+05:30,30.3,18
2023-04-05 17:00:00+05:30,29.3,22
2023-04-05 18:00:00+05:30,26.5,29
2023-04-05 19:00:00+05:30,24.6,31
2023-04-05 20:00:00+05:30,23.4,34
2023-04-05 21:00:00+05:30,22.8,35
2023-04-05 22:00:00+05:30,22.0,36
2023-04-05 23:00:00+05:30,21.0,41
2023-04-06 00:00:00+05:30,20.1,43
2023-04-06 01:00:00+05:30,19.8,44
2023-04-06 02:00:00+05:30,19.3,46
2023-04-06 03:00:00+05:30,18.0,52
2023-04-06 04:00:00+05:30,17.3,57
2023-04-06 05:00:00+05:30,18.6,60
2023-04-06 06:00:00+05:30,18.6,67
2023-04-06 07:00:00+05:30,20.0,67
2023-04-06 08:00:00+05:30,23.1,52
2023-04-06 09:00:00+05:30,25.3,44
2023-04-06 10:00:00+05:30,28.4,31
2023-04-06 11:00:00+05:30,30.0,27
2023-04-06 12:00:00+05:30,31.3,23
2023-04-06 13:00:00+05:30,32.0,21
2023-04-06 14:00:00+05:30,32.2,20
2023-04-06 15:00:00+05:30,32.1,19
2023-04-06 16:00:00+05:30,31.8,18
2023-04-06 17:00:00+05:30,30.6,17
2023-04-06 18:00:00+05:30,27.8,23
2023-04-06 19:00:00+05:30,25.5,29
2023-04-06 20:00:00+05:30,24.8,27
2023-04-06 21:00:00+05:30,23.2,30
2023-04-06 22:00:00+05:30,22.2,34
2023-04-06 23:00:00+05:30,21.2,37
2023-04-07 00:00:00+05:30,20.6,42
2023-04-07 01:00:00+05:30,19.8,47
2023-04-07 02:00:00+05:30,18.8,52
2023-04-07 03:00:00+05:30,18.4,56
2023-04-07 04:00:00+05:30,18.0,59
2023-04-07 05:00:00+05:30,18.1,64
2023-04-07 06:00:00+05:30,18.2,63
2023-04-07 07:00:00+05:30,20.2,57
2023-04-07 08:00:00+05:30,23.2,48
2023-04-07 09:00:00+05:30,26.3,39
2023-04-07 10:00:00+05:30,28.8,27
2023-04-07 11:00:00+05:30,30.4,19
2023-04-07 12:00:00+05:30,31.5,17
2023-04-07 13:00:00+05:30,32.1,15
2023-04-07 14:00:00+05:30,32.3,15
2023-04-07 15:00:00+05:30,32.1,15
2023-04-07 16:00:00+05:30,31.5,16
2023-04-07 17:00:00+05:30,30.8,15
2023-04-07 18:00:00+05:30,28.1,22
2023-04-07 19:00:00+05:30,26.1,26
2023-04-07 20:00:00+05:30,25.5,25
2023-04-07 21:00:00+05:30,24.6,27
2023-04-07 22:00:00+05:30,23.8,28
2023-04-07 23:00:00+05:30,22.7,30
2023-04-08 00:00:00+05:30,21.8,34
2023-04-08 01:00:00+05:30,20.6,40
2023-04-08 02:00:00+05:30,19.4,45
2023-04-08 03:00:00+05:30,18.9,46
2023-04-08 04:00:00+05:30,17.5,50
2023-04-08 05:00:00+05:30,17.2,57
2023-04-08 06:00:00+05:30,17.9,54
2023-04-08 07:00:00+05:30,20.3,46
2023-04-08 08:00:00+05:30,23.7,38
2023-04-08 09:00:00+05:30,27.3,28
2023-04-08 10:00:00+05:30,29.8,21
2023-04-08 11:00:00+05:30,31.2,18
2023-04-08 12:00:00+05:30,32.1,16
2023-04-08 13:00:00+05:30,32.5,15
2023-04-08 14:00:00+05:30,32.8,14
2023-04-08 15:00:00+05:30,32.6,13
2023-04-08 16:00:00+05:30,32.3,13
2023-04-08 17:00:00+05:30,31.3,16
2023-04-08 18:00:00+05:30,28.7,21
2023-04-08 19:00:00+05:30,26.3,26
2023-04-08 20:00:00+05:30,24.0,30
2023-04-08 21:00:00+05:30,22.8,34
2023-04-08 22:00:00+05:30,21.7,38
2023-04-08 23:00:00+05:30,21.6,38
2023-04-09 00:00:00+05:30,21.7,34
2023-04-09 01:00:00+05:30,20.5,39
2023-04-09 02:00:00+05:30,19.1,46
2023-04-09 03:00:00+05:30,21.5,40
2023-04-09 04:00:00+05:30,18.9,48
2023-04-09 05:00:00+05:30,17.9,56
2023-04-09 06:00:00+05:30,18.2,59
2023-04-09 07:00:00+05:30,20.8,52
2023-04-09 08:00:00+05:30,25.0,40
2023-04-09 09:00:00+05:30,28.8,29
2023-04-09 10:00:00+05:30,31.5,19
2023-04-09 11:00:00+05:30,33.1,13
